M$,NSF - Cosmology
0.309016,"Smooth invertible transformations, or deformations, are fast becoming important tools in modern data analysis. The nonlinear nature of deformations makes these objects extremely powerful while at the same time making them challenging to estimate and theoretically explore. This proposal is dedicated to the development and theoretical understanding of deformations applied to three specific areas of research: statistics, cosmology and image analysis. The theoretical properties of estimated deformations for generating nonparametric and semiparametric statistical estimates are analyzed through a surprising connection with Stein's method. In addition, the investigator focuses on recent results found in the theory of optimal transport, which has the potential to provide a rigorous theoretical foundation for deformable templates. The computational aspects of estimated deformations will utilize a new Euler-Lagrange characterization of a penalized maximum likelihood estimate, which can significantly relieve the typical computational burden associated with estimation. One consequence will be to make these methods available for widespread use by statistical practitioners in a broad range of problems: nonparametric and semiparametric density estimation, estimating gravitational lensing in cosmology and posterior sampling techniques, to name a few. Another intellectual merit of this proposal are the scientific ramifications of two new proposed deformation estimates of weak lensing of the cosmic microwave background (CMB): a wavelet/Slepian quadratic estimator and a new Bayesian lensing estimator. Gravitational lensing studies have become one of the most successful tools for probing the nature of dark matter. The precise estimation of lensing is important for a number of reasons including, but not limited to, understanding cosmic structure, constraining cosmological parameters and detecting gravity waves. The investigator proposes to uses wavelets and Slepian multi-tapers to adapt the quadratic estimate to local foreground contaminants and sky cuts, which are ubiquitous features in most modern cosmological surveys. The investigator proposes a new Bayesian estimator which has the potential to dramatically change the way gravitational lensing studies are done and how they are integrated within other astronomical surveys.<br/><br/>Smooth invertible transformations, or deformations, are fast becoming important tools in modern data analysis. They have been used with spectacular success in the field of computational anatomy where time varying vector field flows which generate deformations are used to statistically analyze medical fMRI images and quantify abnormal morphological structure. In cosmology, deformations are used to model gravitational distortions of the cosmic microwave background from dark matter density fluctuations, and have resulted in a deeper understanding of cosmic structure. Even though these important tools are becoming integrated in modern scientific methods, the statistical properties of estimated deformations have been largely unexplored. This proposal is dedicated to the development and theoretical understanding of deformations applied to three specific areas of research: statistics, cosmology and image analysis. The tools resulting from this project will be useful, not only in statistics, but also in other branches of science and technology ranging from genetics to machine learning. In the field of physics, for example, the potential scientific progress resulting from gravitational lensing estimation could a have broad impact on scientific understanding and the future of scientific research. Moreover, it is becoming increasingly important to train graduate and undergraduate students with the tools necessary to successfully navigate interdisciplinary work, and who are prepared for independent research. The interdisciplinary nature of the proposal will foster a culture of collaboration that will reach the fundamentals of statistical education and will deepen ties with statistics and other physical sciences. In addition, through the integration of research and education, the proposal will teach both graduate and undergraduate students research skills. The result will be two fold. First, it will train graduate students to become creative independent researchers who can contribute within an academic environment. Second, it will educate undergraduates to navigate a work environment which values creative independent investigation."
0.328312,"Future astronomical surveys will be producing such enormous quantities of data that new analysis methods are becoming imperative. Especially when large quantities of information must be distilled into theoretical insights, and the individual items are themselves actually of less certainty, a probability-based approach offers impressive advantages. This project will generate toolkits to implement such novel approaches to the extraction of knowledge from overwhelmingly large data sets. With the potential to transform the way science is done both in cosmology and in other areas under threat of being swamped with data, the impact of this work cannot be overestimated. The methods will both use and propagate collaborations with applied mathematics that make the impossible possible.<br/><br/>New cosmological surveys will require measurement of smaller signals using larger numbers of galaxies which are individually observed at lower confidence. This will require data analyses that are as information-preserving as possible. This project will create new methods for cosmological data analysis that permit inferences using not lossy, derived data products, such as galaxy catalogs, best-fit redshifts, or correlation function point estimates, but something much closer to the original imaging and spectroscopic data. These techniques will be informed by the principles of probabilistic inference and applied-mathematics technology. The work creates three related toolsets. Toolset 1 is for reconstruction and marginalization of cosmological density fields, which could be the mass, galaxy, or neutral-gas density field, or the two-dimensional projected mass density. Toolset 2 is for cosmological inference that makes proper use of probabilistic information about galaxy and quasar redshifts, improving probabilistic redshift information, and providing informative imputation of missing redshifts, thereby producing predictions and tools for smaller-scale scientific questions. Toolset 3 is for propagation of probabilistic image-level quantities such as galaxy shapes and the point-spread function, into weak-lensing studies of large-scale structure. This will permit inference from survey data conditional priors over galaxy shapes, and use them in a justified forward-modeling measurement of the shear field and cosmological parameters. The toolsets from this project will be the first practical methods for cosmological inference and large-scale structure measurement that can make full and proper, justified, use of probabilistic outputs. For the first time, it will be possible to perform simultaneous inference or refinement of catalog-level properties along with large-scale structure and cosmological inferences. Simultaneous inference will significantly reduce statistical biases in cosmological measurements, and also reduce variance in catalog-level quantities.<br/><br/>The toolsets will be papers and methods but also open-source codebases, with benefits beyond cosmology. These developments will help create standards for generating and delivering probabilistic outputs. The research will reach populations inside and outside academia by producing pedagogical papers on inference, data analysis, and computational statistics in the physical sciences."
0.634777,"The current cosmological paradigm includes two significant and unknown physical entities called ""dark matter"" and ""dark energy."" This project aims to test this paradigm by extracting cosmological information from the latest large-scale structure surveys of galaxies. The methods employed will yield substantial improvements over standard two-point measurements such as the power spectrum, and they will ultimately provide tighter constraints on cosmological parameters. Specifically, the project's primary goals are (1) to measure and interpret the power spectrum and bispectrum in the Baryon Oscillation Spectroscopic Survey (BOSS), (2) to improve current theoretical models of galaxy bias and redshift-space distortions, (3) to test large-scale modifications of gravity, proposed to explain the current acceleration of the Universe, by using redshift-space distortions of galaxy clustering in BOSS, and (4) to constrain primordial non-Gaussianity, motivated by inflationary models.<br/><br/>The educational broader impacts of this project include funding for two graduate students for three years at NYU and will be part of their PhD thesis work, and the investigators will give seminars to middle school and high school science teachers and to science education graduate students at NYU's Department of Teaching and Learning. For the scientific community the investigators will provide (1) publicly available computer code for cosmological simulations, specifically to generate non-Gaussian initial conditions, and (2) public mock galaxy catalogues produced by computer simulations."
0.4,"New data from cosmology have determined many parameters of our uni- verse to<br/>unprecedented accuracy. Among the many significant results is the determination that<br/>much of the energy in the universe is dark and of a form consistent with a positive<br/>cosmological constant. Understanding such a result appears to require a theory of<br/>quantum gravity. The best candidate for such a theory, string theory, contains a<br/>mechanism for producing dark energy and understanding its approximate value, but it is<br/>crucial that this model be falsifiable and predictive. The PI proposes to undertake a<br/>broad program of research in high energy theory, focusing on the aspects of string<br/>theory most relevant to cosmology, with the ultimate goal of uncovering stringy effects<br/>which can be observed. He will continue his work studying the effects of high-scale<br/>physics and string theory on large-scale cosmological phenomena such as the Cosmic<br/>Microwave Background and the curvature of the universe. He will research the physics<br/>of black hole and cosmological horizons and singularities using string theory dualities<br/>and other methods. As a final component of the program he will continue and extend his<br/>recent work in particle physics in anticipation of the arrival of new data. The Broader<br/>Impact of the proposal will be that the PI will develop a pilot program at NYU to help<br/>promote the success of undergraduates belonging to groups traditionally<br/>underrepresented in physics and the physical sciences. The program will attempt to<br/>overcome the isolation such students often experience by facilitating the formation of a<br/>peer group and by providing additional support where necessary. In addition, the PI will<br/>lecture at the Physics Club of New York, a public forum consisting of area high school<br/>teachers and members of the public, and will participate in school tours and interactions<br/>with two particular local high schools."
0.02,"From the very beginnings of medieval thought about the year 1200 until 1687, the year Isaac Newton published his monumental Principia, the Aristotelian-Ptolemaic geocentric cosmology dominated intellectual debate about the nature of our universe. Professor Grant is examining how the Aristotelian system managed to persist for nearly half a millennium. To understand this phenomenon is to understand the ability of received views to persist, even in the light of contradictory evidence. Or, better, to understand the persistence of the Aristotelian system is to understand how a scientific theory can adapt to accommodate new views and to understand how extraordinarily difficult it is to overthrow entrenched views. By undertaking this study, Professor Grant is thus shedding light on one of the most important issues in science studies: how science changes--and why it does not change. Professor Grant has found that the nearly 500 year period can be divided into two parts: 1200-1500 when the Aristotelian view was overwhelmingly dominant and had no viable rivals. The second phase from 1500-1687 was one in which a number of rival cosmologies appeared ranging from the Platonic views to those of the hermetic tradition of Hermes Trismagistus. He has found that, even if Copernicus had never written De revolutionibus, a significant debate about the earth's possible axial rotation and orbital motion would have occurred. Yet in 1543, Copernicus did publish his revolutionary views and the remaining century and a half of Aristotelian cosmology was one of trying to accommodate the Aristotelian system to the discoveries which emerged in the 16th and 17th centuries--from Brahe's new observations of the planets and stars to Galileo's telescopic discoveries. The results of Professor Grant's study will be a massive history of Aristotelian cosmology. This study will have major importance for studies in the history and the philosophy of science which are concerned with the central issues of scientific change."
0.04,"In Einstein's theory of general relativity classical spacetime ends at the singularities. Examples include the Big Bang singularity in cosmological models and the central singularity of the black hole spacetimes. At these events the spacetime curvature and tidal forces become infinite. Classical evolution stops. It has been hoped that quantum gravitational effects will provide insights on resolution of this fundamental problem. This Faculty Early CAREER award supports research towards answering various questions related to quantum gravity and resolution of singularities in cosmological and black hole spacetimes. The research carried out in this project will use techniques of loop quantum gravity. A primary objective will be to establish generic properties of quantum spacetime in presence of anisotropies and inhomogenities, and extract reliable phenomenological and observational predictions. The educational and outreach objectives of this project are designed to address a wide audience. The project aims to enhance the scientific enrichment of K-12 students via a public lecture series and science exhibitions and demonstrations. Active engagement techniques will be used to revamp undergraduate and graduate courses. Undergraduate and graduate students will also receive training through research activities.<br/><br/>Detailed implications of the singularity resolution on the physics in different models will be explored. The project aims to significantly broaden and advance our current understanding of the physics of quantum gravity. Research explorations will include (i) systematically investigating the quantization and resulting physics of different spacetimes including anisotropies, inhomogenities in Gowdy models and Schwarzschild black holes, (ii) extracting phenomenological implications by analyzing effects of quantum gravity on cosmological perturbations, and (iii) addressing fundamental issues in quantum cosmology using consistent histories approach. Numerical techniques developed in this project will also lead to fresh insights on results in the classical gravity, such as on the structure of spacetime near classical singularities."
0.171306,"Einstein's theory of General Relativity is known to break down (become singular) when gravitational fields become sufficiently strong. The Big Bang is an example. A similar breakdown in electromagnetism on the atomic scale is cured by switching to a theory that obeys the principles of quantum mechanics. It is hoped that a quantum theory of gravity will remove the singularities in General Relativity. The research performed under this award aims to provide new insights and discover novel directions to answer fundamental questions on the removal (or resolution) of these singularities. Quantum gravitational effects will be systematically taken into account to understand the way singularities in cosmological and black hole spacetimes are resolved. By building on quantum cosmology (the quantization of simple model universes), investigations on more complex models will be performed with the goal of yielding insights on the generic resolution of singularities in quantum gravity. Phenomenological models will be built to understand broad ramifications of the quantum gravity effects in the cosmological scenarios. Another goal of the research will to be address related foundational issues in quantum cosmology, such as a consistent way to assign probabilities for events in a quantum universe.<br/><br/>This research will lead to deeper understanding of the new physics at the quantum gravity (Planck) scale that will have broad implications for quantum gravity, cosmology and other areas of physics. The research on singularity resolution in different models will provide useful hints on the full theory of quantum gravity. This NSF award will also lead to a training of a graduate student leading to a long term impact on his/her research career. Results obtained in this award will be disseminated to the scientific community by writing scholarly articles and seminars in conferences and workshops. The fundamental questions addressed in this award also have broad interest of the general public. Results will be disseminated to the public in various ways including contributions to the loop quantum gravity website."
0.58,"With the imminent advent of the Large Hadron Collider (LHC) and the recent wealth of cosmological results, this is an exciting time in particle physics and cosmology. Data from the LHC will greatly deepen our understanding of the fundamental interactions and in particular the mechanism behind electroweak symmetry breaking. Recent discoveries in astrophysics and cosmology may also shed light on electroweak physics. The research of the UC Irvine group exploits innovative ideas in both particle physics and cosmology to address problems in a wide variety of fields, including supersymmetric and extra dimensional model building, collider phenomenology, cosmology and the early universe, particle astrophysics, string theory and quantum gravity, and lattice field theory. The group will also investigate consequences of these ideas for the LHC and other upcoming landmark experiments. The broader impacts of the group's activities are directed towards increasing public interest in and improving public understanding of the exciting results of particle physics. The group plays an essential role in UC Irvine's QuarkNet program, where high school teachers and their students are introduced to current research in High <br/>Energy physics. These efforts will be complemented by additional public outreach activities, the training of postdoctoral researchers and graduate students, and professional service."
1.551,"This award funds the research activities of Professors Kev Abazajian, Mu-Chun Chen, Jonathan Feng, Manoj Kaplinghat, Arvind Rajaraman, Yuri Shirman, and Tim Tait at the University of California, Irvine.<br/><br/>With the discovery of a Higgs-like particle at the Large Hadron Collider (LHC) and the recent wealth of cosmological results, this is an exciting time in particle physics and cosmology. Data from the LHC and other particle physics experiments are deepening our understanding of the fundamental interactions and probing the weak scale with unprecedented detail. At the same time, outstanding questions in astrophysics and cosmology also guide theoretical work on physics beyond the so-called ""Standard Model"", and the interaction of cosmology and particle physics in recent years has been fruitful. The research plan of these researchers exploits innovative ideas in both particle physics and cosmology in order to address outstanding problems in a wide variety of fields, including supersymmetry, extra dimensions, collider phenomenology, neutrino physics, grand unified theories, dark matter, and particle cosmology.<br/><br/>The broader impacts of the group's activities are directed towards increasing public interest in and improving public understanding of the exciting results of particle physics. These include public talks and outreach activities, the training of postdoctoral researchers and graduate students both at UC Irvine and around the world, and significant contributions in the area of professional service."
0.01995,"9312335 Brandenberger This award supports a group of three U.S. researchers and their graduate students, led by Professor Robert H. Brandenberger of Brown University, to collaborate in theoretical physics with Professor Christoph Schmid and others of the Swiss Federal Institute of Technology (ETH) and the University of Zurich. These research groups represent centers of excellence that share an interest in understanding the physics of the very early universe. The participants bring complementary expertise in particle physics, field theory, astrophysics, and cosmology to the cooperative effort. A collateral goal of the proposed project is to enable the junior U.S. and Swiss participants to broaden their intellectual horizons through international collaboration. The joint research will focus on three topics of mutual interest: 1) applications of the theory of cosmological perturbations to gravitation and cosmology; 2) application of entropy arguments to the theory of cosmological phase transitions; and 3) construction of a nonsingular universe. This research addresses several intriguing questions about the physics of the early universe. The combinations of different backgrounds and perspectives among the participants increases the potential contribution of the research toward improved understanding of the formation of large scale structures in the universe. This area of cosmology is particularly interesting now because of recent and planned satellite observations that measure anisotropies in the cosmic microwave background and the clusters, superclusters and the walls and voids of galaxies. These observations may provide means of evaluating and refining the models and otherwise advancing the research of the U.S. and Swiss collaborators. ***"
