M$,NSF - Nuclear
0.09,"Many important reactions in nuclear physics cannot be measured with currently available experimental techniques. For example, the reaction probability of the process in which two protons fuse to a Deuteron (a bound state of a neutron and a proton) is an important process in the sun. However, it cannot be measured experimentally and only theoretical calculations can provide this rate. In the absence of guidance from experiment, it becomes important to quantify theoretical uncertainties. To address these issues, this project will use analytical and numerical methods to calculate reaction rates for astrophysically relevant reaction rates and new parametrizations of the internuclear interaction that will be useful to the larger nuclear physics community. Specifically, the PI and his students will use nuclear interactions constructed using effective field theory. In this theoretical approach, the nuclear interaction model can be systematically improved to improve the accuracy of the calculation. Intrinsic error of this approach will be determined using numerical techniques. This project will allow not only for a better understanding of important nuclear processes occurring in the universe, but also the project will provide a stimulating training ground for students and postdoctoral fellows and outreach community activities.<br/><br/>This project aims at improving our understanding of electroweak processes using effective field theory. A number of weak processes in few-nucleon systems will be calculated within the unified framework of 'pionless' effective field theory. Specifically, the well-measured decay half-life time of tritium will be studied theoretically in order to obtain a highly accurate description for proton-proton fusion and weak proton capture on Helium-3. Furthermore, the PI and his student will study the intrinsic error of Hamiltonians and associated electroweak currents generated in 'pionfull' effective field theory. The PI will use novel techniques to analyze uncertainties in matrix elements calculated with the chiral potential and the associated electroweak currents in order to account correctly for the intrinsic error of the Hamiltonian order-by-order. With his collaborators, the PI will then use these results to calculate observables such as half-life times or total decay rates that are currently measured to new accuracy and with correct error estimates. The resulting interactions and currents will be made available to the nuclear theory community."
0.21,"Gordon Moore, the founder of Intel, was the first to note that the number of transistors per chip roughly doubled every two years (this is called Moore's Law). The corresponding volume per transistor had to decrease exponentially with time. Miniaturization would eventually lead to such a small number of electrons per transistor that the discriminable charging effect of the electrons in a transistor fails. The point where miniaturization destroys the transistor function is known as Moore's limit. This limit is imminent within the next generation of scientists and engineers. New avenues of progress beyond current technology must be sought. This research follows the approach of quantum technology to continue the evolution of information processing beyond Moore's limit. It works to develop the necessary foundational knowledge for an approach to devices, where the behavior of these devices is governed not by the usual rules that govern the aggregate properties of a large number of particles, but by the laws of quantum mechanics, which governs electrons in the atomic limit. Specifically, this project focuses on the study of optically controlled semiconductor quantum dots. A dot effectively traps one electron, which is manipulated by ultrafast pulses of light that enable terahertz control speeds without the complexities of metal contacts. The studies emphasize the isolation of the electron from the influence of the other electrons (known as the valence electrons) and the nuclei, in particular, which constitute the dot, and the networking of the target electrons in separate dots. Light is used to excite the valence electrons to control a single target electron and to entangle two target electrons, while shielding them from the effects of nuclear fluctuations. The primary intellectual merit is based on the scientific objectives of this three-year research program; produce quantum entangled states between two electron spins separated by a large distance, demonstrate a multi-quantum-bit high-speed logic gate, and explore the feasibility of using optical control of nuclear states to store and or process information. The broader impact includes developing the basic knowledge to advance the technology of information processing beyond Moore's limit via a highly interdisciplinary and collaborative research program, training and preparing the next generation of scientists and engineers for new challenges they will be facing, and facilitating efforts by both our universities to inform and educate the public and students about the importance of this quantum research to society's well-being, including how this research is training students in STEM areas in order to maintain a competitive work force. <br/><br/>This research focuses on quantum information processing by ultrafast optical control of electron spins trapped individually in structurally defined semiconductor quantum dots (QDs). Numerous advances made possible by previous NSF support, have helped meet many of the milestones of quantum operations required by the Di Vincenzo criteria. Recent advances such as demonstration of the flying qubit and nuclear spin fluctuation freezing to extend the electron-spin coherence time and creation of high optical quality laterally positioned dots are fundamental to the quantum network approach to scaling up the system. The critical discovery of nuclear spin fluctuation freezing enables lengthening the coherence time of the qubit by over 2-3 orders of magnitude for time scales lasting longer than 1 second. This allows the time for a complete sequence of computational steps with the ultrafast control including error correction. The method consists in freezing out the fluctuations of the nuclear spins unavoidably present in QDs and temporally separates the decoherence abatement from the control operations, in contrast to the common but more limited and complex method of dynamic decoupling of the qubits being processed at the same time. Building on these achievements five experimental objectives to advance the frontier of scalable quantum information processing based on optical control of the spins will be accomplished: demonstrate a two-bit controlled not-gate and of a simple algorithm using a quantum dot molecule; demonstrate teleportation of information in a single photon qubit to a QD using spontaneous parametric (singe-photon) down conversion (SPDC) to produce the single photon source; produce an entangled state between a quantum dot spin and a spontaneously emitted photon (at 960nm) and convert it to the telecom wavelength around 1.55 microns; demonstrate heralded entanglement of two QD spins using photons.; and extend the work on nuclear spin fluctuation freezing to using optically detected NMR to more completely understand the underlying physics state of nuclei in the dot. <br/><br/>The work is an interdisciplinary research effort in the physics of semiconductor nano-structures, high-precision coherent optical control, and spectroscopy of QDs. These studies are paralleled by the coherent transient time domain studies consistent with device applications and scalable architectures. The amelioration of the environmental problem (decoherence) lies in the coordinated theoretical and experimental treatment of the quantum correlated dynamics of the optically controlled electron spin and the nuclear spins in the QD through the hyperfine interaction without additional stochastic assumptions.The intellectual merit arises from the increasingly sophisticated understanding of the interaction effects between a microscopic system (the electron spins as the qubits) and a macroscopic system (the dot environment, control or measurement) within quantum theory. The broad bandwidth control of the quantum physics makes the QD system the high speed processing unit partner to the quantum memory device of trapped ions. The operating temperature of 4-10 K is above the milli-K required by gated dots and superconducting circuits and optical control avoids some of the connection problems.<br/><br/>The broader impact is first in the development of highly trained people critical to the infrastructure of quantum technology, at all levels of higher education: postdocs, graduate and undergraduate students. The second broader impact is that the optical approach positions our research to play a key role in the transition from the electronic devices that currently drive the Moore?s law to the new paradigm of post CMOS era. The further miniaturization of the current devices that process classical information will reach the quantum barrier where devices operating on quantum information will take over. The future lies in a hybrid structure of classical devices for interface with human and quantum devices for information processing. The optical approach to quantum devices, based on the established III-V material with a large industrial infrastructure and optical sources and gating based on telecom technology, may provide a smooth transition to the hybrid structure."
4.655,"This award funds a broad program of measurements in nuclear physics by faculty and students at Florida State University (FSU). The experiments include studies of nuclear reactions and decays that play key roles in all stages of stellar processes. This aspect of the program supports the large investment made and being made in astronomical observations worldwide. Other experiments focus on the evolution of nuclear shell structure with increasing neutron number, especially near the magic numbers of 20 and 28. The behavior of nuclei at ultra-high spin will be explored through discrete gamma spectroscopy using arrays of gamma detectors at FSU and at the National Superconducting Cyclotron Laboratory (NSCL). The group will also exploit heavy ion collisions at the Relativistic Heavy Ion Collider (RHIC) to investigate the characteristics of the quark-gluon plasma. The broader societal impacts of this project lie in the education and training of undergraduate and graduate students in a hands-on environment. Florida State University has served as one of the leading educators in the field of nuclear physics (4th highest Ph.D. production in the U.S.) and this grant will enable the group to continue to attract and train the best and brightest graduate students in experimental nuclear physics. Because of the students' training and hands-on work with high tech equipment in a forefront nuclear physics laboratory, FSU graduates are in high demand and now serve in key roles in homeland security, national defense, high-tech industry, leading edge research, and STEM education. Finally, these measurements will be important for understanding stellar processes and the abundance of elements in our universe. <br/><br/>A significant part of the proposed research uses short-lived rare nuclear isotopes from the FSU Fox Laboratory to study nuclear reactions and structure in unstable nuclei. This is very important for reactions of astrophysical importance, many of which proceed through unstable nuclei. These beams have low intensity and so will benefit from the ANASEN active target and detector array recently developed by FSU in collaboration with Louisiana State University. A newly developed neutron detector array (RESONEUT) will be used to study (d,n) reactions in inverse kinematics with radioactive beams. A series of experiments is planned to measure the critical parameter of lifetime following beta decay of heavy, neutron-rich nuclei on and close to the expected r-process path at TRIUMF. The confrontation of state-of-the-art shell model calculations for multiple cross-shell excitations with proposed nuclear structure measurements will strengthen their reliability for extrapolation to the astrophysically important region. The FSU 14C beam will be used to explore nuclear structure in more neutron-rich nuclei with a recently digitized Germanium detector array. Measurements using gamma detector arrays (GRETINA and GAMMASPHERE) will explore newly proposed exotic shapes and ultra-high-spin structures in the atomic mass ~ 150 region. Other work involves studying the quark-gluon plasma with heavy flavor probes using the PHENIX detector system, parts of which were constructed at FSU. In this instance the FSU focus is on the effects of cold nuclear matter on heavy quarkonia production."
0.56,"The formation of a complex organism from a single cell, the fertilized egg, requires the expression of different genes at different times and in different cells as the embryo develops. Many of the gene products controlling these early steps in development determine cell fate through their function as regulatory genes, encoding transcription factors or signaling proteins that regulate the expression of downstream cascades of genes encoding products directly involved in growth and differentiation of different cell types. If these regulatory genes are active in the wrong cells at the wrong time, it is catastrophic for the embryo, which will likely die as a result of this mis-expression. The goal of this project is to unravel the mechanisms controlling the activity of embryonic regulatory genes. It will use a well-established animal model, the fruit fly Drosophila melanogaster, for these studies. The focus is on one family of embryonic transcription factors, a nuclear receptor, which is regulated by interactions with protein partners. Findings will provide a fundamental model for studies of other members of the nuclear receptor family, in Drosophila and other species, by contributing to an understanding of cell type specification during embryonic development and elucidating different levels at which the function of transcription factors is regulated to produce unique cell types. This proposal will train students from diverse backgrounds in the laboratory in bench science, critical thinking and scientific presentation. In addition, it will support formal collaborations with a majority minority middle school in Maryland(Wilde Lake Middle School)to bolster the genetics curriculum for 7th graders and with the MARC program at Northeastern Illinois University that will send up to two students/year for summer internships to Northwestern. These efforts are part of ongoing efforts on the part of both the PI and Co-PI to educate the public about science. <br/><br/> Nuclear Receptors (NRs) are a large family of transcription factors that control a broad range of biological processes. Although the activity of many NRs is regulated by ligand, a large number of these receptors are orphan NRs that share a common fold with NRs with known ligands. This likely reflects the ancestral state of this protein family. How is the activity of orphan NRs regulated? Drosophila Ftz-F1 is the founding member of the NR5A nuclear receptor family. In previous work, the Principle Investigator and colleagues showed that Drosophila Ftz-F1 interacts with the homeodomain protein Ftz, a classic pair-rule protein expressed in seven stripes in embryos in the primordia of body regions missing in ftz mutant animals. Ftz-F1 and Ftz form a stable complex in vivo and bind to composite DNA sites, synergistically activating target gene expression. Thus, although Ftz-F1 is a strong transcriptional activator alone in vitro, and it is present in the nuclei of all somatic cells of the embryo, its activity is limited to the cells in which Ftz is also expressed (Ftz+ cells). These studies demonstrate that protein-protein interactions modulate Ftz-F1 activity and provide an in vivo model system to dissect the mechanisms underlying this regulation. Here we will test whether Ftz-F1 is regulated: (1) at the level of DNA binding; (2) by a corepressor/coactivator exchange, and/or (3) by Ftz-induced conformational change. This work will combine biochemical and structural methods with molecular genetic approaches in Drosophila embryos to evaluate the contributions of each of these mechanisms to the regulation of NR activity in vivo. It will train postdoctoral fellows, graduate students and undergraduate students in molecular biology, genetics, biochemistry, biophysics and, most importantly, critical thinking: generating, testing and evaluating hypotheses."
0.405,"Gordon Moore, the founder of Intel, was the first to note that the number of transistors per chip roughly doubled every two years (this is called Moore's Law). The corresponding volume per transistor had to decrease exponentially with time. Miniaturization would eventually lead to such a small number of electrons per transistor that the discriminable charging effect of the electrons in a transistor fails. The point where miniaturization destroys the transistor function is known as Moore's limit. This limit is imminent within the next generation of scientists and engineers. New avenues of progress beyond current technology must be sought. This research follows the approach of quantum technology to continue the evolution of information processing beyond Moore's limit. It works to develop the necessary foundational knowledge for an approach to devices, where the behavior of these devices is governed not by the usual rules that govern the aggregate properties of a large number of particles, but by the laws of quantum mechanics, which governs electrons in the atomic limit. Specifically, this project focuses on the study of optically controlled semiconductor quantum dots. A dot effectively traps one electron, which is manipulated by ultrafast pulses of light that enable terahertz control speeds without the complexities of metal contacts. The studies emphasize the isolation of the electron from the influence of the other electrons (known as the valence electrons) and the nuclei, in particular, which constitute the dot, and the networking of the target electrons in separate dots. Light is used to excite the valence electrons to control a single target electron and to entangle two target electrons, while shielding them from the effects of nuclear fluctuations. The primary intellectual merit is based on the scientific objectives of this three-year research program; produce quantum entangled states between two electron spins separated by a large distance, demonstrate a multi-quantum-bit high-speed logic gate, and explore the feasibility of using optical control of nuclear states to store and or process information. The broader impact includes developing the basic knowledge to advance the technology of information processing beyond Moore's limit via a highly interdisciplinary and collaborative research program, training and preparing the next generation of scientists and engineers for new challenges they will be facing, and facilitating efforts by both our universities to inform and educate the public and students about the importance of this quantum research to society's well-being, including how this research is training students in STEM areas in order to maintain a competitive work force. <br/><br/>This research focuses on quantum information processing by ultrafast optical control of electron spins trapped individually in structurally defined semiconductor quantum dots (QDs). Numerous advances made possible by previous NSF support, have helped meet many of the milestones of quantum operations required by the Di Vincenzo criteria. Recent advances such as demonstration of the flying qubit and nuclear spin fluctuation freezing to extend the electron-spin coherence time and creation of high optical quality laterally positioned dots are fundamental to the quantum network approach to scaling up the system. The critical discovery of nuclear spin fluctuation freezing enables lengthening the coherence time of the qubit by over 2-3 orders of magnitude for time scales lasting longer than 1 second. This allows the time for a complete sequence of computational steps with the ultrafast control including error correction. The method consists in freezing out the fluctuations of the nuclear spins unavoidably present in QDs and temporally separates the decoherence abatement from the control operations, in contrast to the common but more limited and complex method of dynamic decoupling of the qubits being processed at the same time. Building on these achievements five experimental objectives to advance the frontier of scalable quantum information processing based on optical control of the spins will be accomplished: demonstrate a two-bit controlled not-gate and of a simple algorithm using a quantum dot molecule; demonstrate teleportation of information in a single photon qubit to a QD using spontaneous parametric (singe-photon) down conversion (SPDC) to produce the single photon source; produce an entangled state between a quantum dot spin and a spontaneously emitted photon (at 960nm) and convert it to the telecom wavelength around 1.55 microns; demonstrate heralded entanglement of two QD spins using photons.; and extend the work on nuclear spin fluctuation freezing to using optically detected NMR to more completely understand the underlying physics state of nuclei in the dot. <br/><br/>The work is an interdisciplinary research effort in the physics of semiconductor nano-structures, high-precision coherent optical control, and spectroscopy of QDs. These studies are paralleled by the coherent transient time domain studies consistent with device applications and scalable architectures. The amelioration of the environmental problem (decoherence) lies in the coordinated theoretical and experimental treatment of the quantum correlated dynamics of the optically controlled electron spin and the nuclear spins in the QD through the hyperfine interaction without additional stochastic assumptions.The intellectual merit arises from the increasingly sophisticated understanding of the interaction effects between a microscopic system (the electron spins as the qubits) and a macroscopic system (the dot environment, control or measurement) within quantum theory. The broad bandwidth control of the quantum physics makes the QD system the high speed processing unit partner to the quantum memory device of trapped ions. The operating temperature of 4-10 K is above the milli-K required by gated dots and superconducting circuits and optical control avoids some of the connection problems.<br/><br/>The broader impact is first in the development of highly trained people critical to the infrastructure of quantum technology, at all levels of higher education: postdocs, graduate and undergraduate students. The second broader impact is that the optical approach positions our research to play a key role in the transition from the electronic devices that currently drive the Moore?s law to the new paradigm of post CMOS era. The further miniaturization of the current devices that process classical information will reach the quantum barrier where devices operating on quantum information will take over. The future lies in a hybrid structure of classical devices for interface with human and quantum devices for information processing. The optical approach to quantum devices, based on the established III-V material with a large industrial infrastructure and optical sources and gating based on telecom technology, may provide a smooth transition to the hybrid structure."
0.599932,"The development of new connections between neuronal cells in the brain is a critical process which ultimately underlies our ability to learn and remember. This proposal focuses on a newly-discovered process called Nuclear Envelope Budding (NEB) that allows cells to make targeted changes to the structure of their connections with other cells. Three sets of experiments will be carried out, examining (1) molecular changes that underlie NEB, (2) the mechanical means through which NEB is accomplished, and (3) how NEB actually functions in newly-developing cell-to-cell connections. An exciting and novel aspect of this latter set of experiments is the use of live cell microscopy to document the development of new connections in real time as they form in a living organism. These studies will provide novel and critical insights into how the brain develops and into how our experiences can lead to changes in our neuronal circuitry.<br/><br/>This proposal takes advantage of the well-established Drosophila neuromuscular junction (NMJ) model of synapse outgrowth and maturation to further our understanding of how RNA granules are formed and subsequently trafficked to synaptic sites during development. In particular, these studies will focus on the recently described process of Nuclear Envelope Budding (NEB), a nuclear export pathway by which RNA granules that contain postsynaptic transcripts are released from postsynaptic muscle nuclei. In Aim 1, we will investigate how Pin1, a highly conserved enzyme, functions to regulate NEB via nuclear lamina remodeling. In Aim 2, we will explore the role of a non-canonical Nuclear Pore Complex that we hypothesize loads mRNA transcripts into RNA granules forming at the periphery of the nucleus. Finally, in Aim 3, we will take advantage of a new tool to image trafficking dynamics of RNA granules in postsynaptic muscles at the time of synaptogenesis. This proposal utilizes high resolution imaging modalities including array tomography, immunogold EM and live cell imaging. These approaches, combined with the genetic tractability of the in vivo system, poise this study to make a significant contribution to our understanding of RNA granule biology and provide exciting new mechanistic insight into the bidirectional communication that occurs between the nucleus and the forming synapse during NMJ development."
0.512545,"The Chemical Measurement and Imaging Program in the Chemistry Division supports Professor Kurt Zilm of Yale University to develop new nuclear magnetic resonance methods for investigation of the chemistry, dynamics and structures of biomolecules. The research will use relaxation methods to identify how structure is related to the dispersion in internal protein and water motions, and to obtain distances in biologically relevant macromolecular complexes. To extend solid-state nuclear magnetic resonance to more complex and size limited samples, new instruments will be developed with 1 to 2 orders of magnitude higher specific sensitivity. These will combine paramagnetic condensed acquisition with very fast cryogenic magic angle sample spinning, as well as microliter sample size dynamic nuclear polarization hardware. When developed, these capabilities will be applied to characterize mutant visual pigments and functionally distinct isoforms of prion protein oligomers. Currently, these are samples where obtaining nuclear magnetic resonance data is impractical on sub-microliter samples. <br/><br/>Magnetic resonance imaging (MRI) is a well-known diagnostic tool in medicine that uses nuclear spin information, often in water, to distinguish different types of tissue in the body. The study of nuclear spin properties of water in proteins is directly related to understanding and improving contrast in MRI technology. This research involves fundamental studies of the distribution of water in proteins, knowledge from which will help improve the sensitivity and the spatial resolution of MRI experiments. The research program also encourages under-represented minorities to enter science careers through involvement in the public education program ""Science on Saturdays,"" a series of scientific lectures and hands-on demonstrations attended by up to 300 members of the public at a time."
0.57,"This award supports a nuclear physics experimental project at the Thomas Jefferson National Accelerator Facility in Newport News, Virginia. The goal of the experiment is a better understanding of the internal quark and gluon structure of the proton and neutron constituents of nuclear matter. The proposed research will provide fundamental information on the momentum distributions of the quarks inside the nucleons of the helium-3 and tritium atoms, using a new method of comparing directly measurements of inelastic electron scattering from helium-3 and tritium nuclei. This method is complementary to experiments done in the past at the Stanford Linear Accelerator Center, which showed the existence of point-like ""partons"" inside the nucleons, by scattering electrons from hydrogen and deuterium nuclei. The new method will eliminate inherent theoretical uncertainties in the Stanford method. The results will test long-standing predictions of the Quark Model of the nucleon, and of Quantum Chromodynamics, the theory describing the interactions between quarks and gluons. In addition, a new proposal will be prepared for a measurement of elastic electron scattering from the tritium nucleus, which will provide critical information for the development of a ""standard model"" describing the structure and dynamics of the simplest, lightest nuclei in nature. The project is expected to make significant contributions to the advancement of basic nuclear physics science, and to graduate education and training by offering doctoral dissertation topics on related science and instrumentation, which provide experience needed for careers in education, medical physics, homeland security, high technology, and national laboratories research.<br/><br/>The project will make use of a tritium, helium-3, and deuterium target system under development at Jefferson Lab, and magnetic spectrometers in the Hall A facility of the Lab. Unpolarized electrons with energy up to 11 gigaelectronvolt will be scattered from the above nuclear targets. For the inelastic measurements, scattered electrons will be detected with the electron High Resolution Spectrometer and a refurbished BigBite Spectrometer. The ratio of the measured cross sections for tritium and helium-3 will determine reliably the ratio of the neutron to proton structure functions, and subsequently the ratio of the probability distributions for an up quark compared to a down quark in the nucleon. The ratio of the tritium and helium-3 cross sections to the deuterium cross section will provide additional information about the effect of the nuclear environment on quarks in the nucleon. A comparison of the effect for these two mirror nuclei is considered to be essential for a full explanation of this effect. For the elastic measurements, the hadron High Resolution Spectrometer will be also used for detection of tritium recoiling nuclei. The two tritium form factors will be measured up to large momentum transfers by means of a Rosenbluth separation. This group will play a major role in all aspects of the project, namely the i) refurbishment, checkout, and calibration of the BigBite spectrometer, ii) preparation of all experimental apparatuses to be used, iii) acquisition of the experimental data, iv) data analysis, and v) publication of the results. The graduate students involved will be exposed to and gain expertise with both hardware and software development."
0.375,"This research project has the overall goal of increasing our knowledge of nuclear systems both finite (nuclei) and infinite. Particular emphasis is placed on the physics of nuclei with large neutron or proton excess with the intent to provide theoretical support and predictions for experiments at rare isotope facilities, including the new generation at RIKEN Tokyo, GSI Darmstadt, and NSCL/MSU East Lansing. Because most experiments at such facilities employ strongly interacting probes, an improved analysis of such reactions is proposed in order to extract new physics. The serious discrepancies between heavy-ion knockout and transfer reactions make the continued development of this framework urgent. The tool for this research project is the dispersive optical model, based on the Green's function method, which provides a bridge between nuclear reactions and nuclear structure information. Ab initio microscopic calculations of heavier and exotic nuclei are proposed based on the Fadeev random phase approximation (FRPA) formulation of the self-consistent Green's function method. This many-body approach appears to be one of the most promising strategies to deal with medium and heavy nuclei for the calculation of the ground state as well as spectroscopic data. The proposal also outlines concrete steps to clarify the phase diagram of nuclear matter around saturation density, as a function of density, temperature and nucleon asymmetry. <br/><br/>The research aims to raise the standard of the analysis of nuclear reactions and is intended to have a significant impact on the experimental program at facilities like the planned Facility for Rare Isotope Beams (FRIB). The ab initio FRPA method practiced in the group provides interdisciplinary links with other fields and involves international collaborations with institutions in England, Japan, Spain, and Belgium. The continued exposure of graduate students and young scientists all over the world to the many-body theory book of the PI fosters improved understanding of exciting new phenomena in nuclear physics in other disciplines. The mentoring of graduate assistants and post-doctoral associates in the process and ethic of scientific research is an integral part of the project. Their development toward independence as original and productive scientists is a central objective of the program and will continue to prepare them for industry or academic institutions."
0.35,"Neutron capture in stars leading to the formation of heavy elements, as well as nucleon induced fission, are at the forefront of nuclear physics research. Because the neutron lacks charge, reactions with free neutrons are very difficult, and popular tools such as deuteron stripping (d,p) reactions are often used instead. The neutron inside the deuteron is bound and its energy, momentum, and angular momentum do not directly relate to the same quantities for a free neutron. Hence, the development of advanced (d,p) theory is critical for the success of many experimental programs at existing and future radioactive beam facilities. The overarching objective of this project is to advance the theory of deuteron stripping reactions leading to bound states and resonances, providing reliable connections between (d,p) reaction cross sections and the corresponding (direct or resonant) neutron capture cross sections on unstable nuclei. In this project the investigators will develop publicly available computer codes that will aid in the interpretation of low-energy experiments at radioactive beam facilities.<br/><br/>Simple transfer reactions such as deuteron stripping (d,p) reactions carry many of the basic features of rearrangement reactions induced by heavier nuclei. They provide a unique tool for extracting nuclear information for neutron capture identified as one of the crucial inputs needed for nuclear astrophysics and applied physics studies, such as in advanced fuel cycles, nuclear energy and nuclear safety applications, and nuclear stockpile stewardship. Advanced reaction theory is the key to connecting (d,p) cross sections to neutron capture cross sections. This project is devoted to advancing low-energy reaction theory. The investigators will focus on obtaining accurate solutions of the generalized three-body Faddeev integral equations including explicitly the Coulomb interaction between nuclei. This project will provide training opportunities for students, who will have the chance to work on cutting-edge theoretical and computational developments of great importance for the future of nuclear physics."
